"College","Branch","Quota","Category","Gender","O.R.","C.R."
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","753","869"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","ST","Female-only (including Supernumerary)","659P","659P"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","Gender-Neutral","8533","8985"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","Female-only (including Supernumerary)","15815","15815"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","EWS","Gender-Neutral","1537","1537"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OBC-NCL","Gender-Neutral","3163","3586"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OBC-NCL","Female-only (including Supernumerary)","7717","7717"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","SC","Gender-Neutral","1799","2175"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","ST","Gender-Neutral","915","915"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","ST","Female-only (including Supernumerary)","893P","893P"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","Gender-Neutral","8990","9822"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","Female-only (including Supernumerary)","19205","19205"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","EWS","Gender-Neutral","1562","1719"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OBC-NCL","Gender-Neutral","3602","3742"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OBC-NCL","Female-only (including Supernumerary)","8172","8172"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","SC","Gender-Neutral","2177","2177"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","SC","Female-only (including Supernumerary)","468P","468P"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","ST","Gender-Neutral","933","933"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","Gender-Neutral","7941","9761"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","Female-only (including Supernumerary)","18104","18104"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","EWS","Gender-Neutral","1667","1745"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OBC-NCL","Gender-Neutral","3468","4047"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OBC-NCL","Female-only (including Supernumerary)","8149","8149"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","SC","Gender-Neutral","2096","2259"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","SC","Female-only (including Supernumerary)","1288P","1288P"
"Indian Institute  of Technology Bhubaneswar","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","9843","11870"
"Indian Institute  of Technology Bhubaneswar","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only (including Supernumerary)","15005","20283"
"Indian Institute  of Technology Bhubaneswar","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","1886","1886"
"Indian Institute  of Technology Bhubaneswar","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","AI","EWS","Female-only (including Supernumerary)","2977","2977"
"Indian Institute  of Technology Bhubaneswar","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","4110","4893"
"Indian Institute  of Technology Bhubaneswar","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only (including Supernumerary)","8033","8033"
"Indian Institute  of Technology Bhubaneswar","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","2377","2515"
"Indian Institute  of Technology Bhubaneswar","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","277P","277P"
"Indian Institute  of Technology Bhubaneswar","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","AI","ST","Female-only (including Supernumerary)","968P","968P"
"Indian Institute  of Technology Bhubaneswar","Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","Gender-Neutral","12182","12526"
"Indian Institute  of Technology Bhubaneswar","Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","Female-only (including Supernumerary)","20678","20678"
"Indian Institute  of Technology Bhubaneswar","Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","EWS","Gender-Neutral","2053","2053"
"Indian Institute  of Technology Bhubaneswar","Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","EWS","Female-only (including Supernumerary)","3646","3646"
"Indian Institute  of Technology Bhubaneswar","Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OBC-NCL","Gender-Neutral","4910","4964"
"Indian Institute  of Technology Bhubaneswar","Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","SC","Gender-Neutral","2560","2560"
"Indian Institute  of Technology Bhubaneswar","Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","ST","Gender-Neutral","337P","337P"
"Indian Institute  of Technology Bombay","Aerospace Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","123","2118"
"Indian Institute  of Technology Bombay","Aerospace Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only (including Supernumerary)","702","4419"
"Indian Institute  of Technology Bombay","Aerospace Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Gender-Neutral","7","7"
"Indian Institute  of Technology Bombay","Aerospace Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","342","476"
"Indian Institute  of Technology Bombay","Aerospace Engineering (4 Years, Bachelor of Technology)","AI","EWS","Female-only (including Supernumerary)","931","1501"
"Indian Institute  of Technology Bombay","Aerospace Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","389","1149"
"Indian Institute  of Technology Bombay","Aerospace Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only (including Supernumerary)","1618","2505"
"Indian Institute  of Technology Bombay","Aerospace Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL (PwD)","Gender-Neutral","62P","62P"
"Indian Institute  of Technology Bombay","Aerospace Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","402","589"
"Indian Institute  of Technology Bombay","Aerospace Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only (including Supernumerary)","136","395"
"Indian Institute  of Technology Bombay","Aerospace Engineering (4 Years, Bachelor of Technology)","AI","SC (PwD)","Gender-Neutral","13P","13P"
"Indian Institute  of Technology Bombay","Aerospace Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","305","504"
"Indian Institute  of Technology Bombay","Aerospace Engineering (4 Years, Bachelor of Technology)","AI","ST","Female-only (including Supernumerary)","887","887"
"Indian Institute  of Technology Bombay","BS in Mathematics (4 Years, Bachelor of Science)","AI","OPEN","Gender-Neutral","198","1903"
"Indian Institute  of Technology Bombay","BS in Mathematics (4 Years, Bachelor of Science)","AI","OPEN","Female-only (including Supernumerary)","5037","5154"
"Indian Institute  of Technology Bombay","BS in Mathematics (4 Years, Bachelor of Science)","AI","EWS","Gender-Neutral","424","451"
"Indian Institute  of Technology Bombay","BS in Mathematics (4 Years, Bachelor of Science)","AI","OBC-NCL","Gender-Neutral","1379","1610"
"Indian Institute  of Technology Bombay","BS in Mathematics (4 Years, Bachelor of Science)","AI","OBC-NCL","Female-only (including Supernumerary)","3699","3699"
"Indian Institute  of Technology Bombay","BS in Mathematics (4 Years, Bachelor of Science)","AI","SC","Gender-Neutral","644","702"
"Indian Institute  of Technology Bombay","BS in Mathematics (4 Years, Bachelor of Science)","AI","SC","Female-only (including Supernumerary)","2056","2056"
"Indian Institute  of Technology Bombay","BS in Mathematics (4 Years, Bachelor of Science)","AI","ST","Gender-Neutral","85","85"
"Indian Institute  of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","1266","2139"
"Indian Institute  of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only (including Supernumerary)","2719","4709"
"Indian Institute  of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Gender-Neutral","88","164"
"Indian Institute  of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","320","413"
"Indian Institute  of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","EWS","Female-only (including Supernumerary)","1258","1321"
"Indian Institute  of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","EWS (PwD)","Gender-Neutral","11P","11P"
"Indian Institute  of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","818","1318"
"Indian Institute  of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only (including Supernumerary)","2730","3546"
"Indian Institute  of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","468","831"
"Indian Institute  of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only (including Supernumerary)","927","1310"
"Indian Institute  of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","241","431"
"Indian Institute  of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","ST","Female-only (including Supernumerary)","439","522"
"Indian Institute  of Technology Bombay","Chemistry (4 Years, Bachelor of Science)","AI","OPEN","Gender-Neutral","4396","5788"
"Indian Institute  of Technology Bombay","Chemistry (4 Years, Bachelor of Science)","AI","OPEN","Female-only (including Supernumerary)","10843","11155"
"Indian Institute  of Technology Bombay","Chemistry (4 Years, Bachelor of Science)","AI","EWS","Gender-Neutral","1100","1147"
"Indian Institute  of Technology Bombay","Chemistry (4 Years, Bachelor of Science)","AI","EWS","Female-only (including Supernumerary)","2638","2638"
"Indian Institute  of Technology Bombay","Chemistry (4 Years, Bachelor of Science)","AI","OBC-NCL","Gender-Neutral","2248","3475"
"Indian Institute  of Technology Bombay","Chemistry (4 Years, Bachelor of Science)","AI","OBC-NCL","Female-only (including Supernumerary)","5070","5966"
"Indian Institute  of Technology Bombay","Chemistry (4 Years, Bachelor of Science)","AI","SC","Gender-Neutral","1255","2074"
"Indian Institute  of Technology Bombay","Chemistry (4 Years, Bachelor of Science)","AI","SC","Female-only (including Supernumerary)","2570","2570"
"Indian Institute  of Technology Bombay","Chemistry (4 Years, Bachelor of Science)","AI","ST","Gender-Neutral","810","187P"
"Indian Institute  of Technology Bombay","Chemistry (4 Years, Bachelor of Science)","AI","ST","Female-only (including Supernumerary)","1126P","1126P"
